epoch	frac	early_avg_acc_lstm	early_avg_acc_mln	early_avg_acc_lstm_mln	final_framewise_avg_acc_lstm	final_framewise_avg_acc_mln	final_framewise_avg_acc_lstm_mln	class_framewise_avg_acc_lstm	class_framewise_avg_acc_mln	class_framewise_avg_acc_lstm_mln	classcount
0	0.5	0.6703296703296703	0.5384615384615384	0.6923076923076923	0.5861437157586703	0.48557072381130295	0.5931871670526109	[0.06403269754768393, 0.8666666666666667, 0.9958762886597938, 0.5163755458515283, 0.6682847896440129, 0.4780361757105943, 0.5018867924528302]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.07493188010899182, 0.8666666666666667, 0.9938144329896907, 0.5513100436681223, 0.6682847896440129, 0.5064599483204134, 0.47547169811320755]	[734, 1065, 485, 916, 618, 387, 795]
1	0.5	0.7362637362637363	0.5384615384615384	0.7472527472527473	0.6393190940327201	0.48557072381130295	0.6506076331795136	[0.3079019073569482, 0.8666666666666667, 0.8391752577319588, 0.5884279475982532, 0.6682847896440129, 0.36175710594315247, 0.8553459119496856]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.3337874659400545, 0.8657276995305164, 0.8350515463917526, 0.631004366812227, 0.6682847896440129, 0.3643410852713178, 0.8528301886792453]	[734, 1065, 485, 916, 618, 387, 795]
2	0.5	0.8406593406593407	0.5384615384615384	0.8571428571428571	0.7502831567725087	0.48557072381130295	0.7613518257685173	[0.5422343324250681, 0.847887323943662, 0.9917525773195877, 0.6670305676855895, 0.6682847896440129, 0.5322997416020672, 0.939622641509434]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.5831062670299727, 0.8431924882629108, 0.9896907216494846, 0.7554585152838428, 0.6682847896440129, 0.5348837209302325, 0.9144654088050315]	[734, 1065, 485, 916, 618, 387, 795]
3	0.5	0.7802197802197802	0.5384615384615384	0.8076923076923077	0.6778695959528541	0.48557072381130295	0.6938662579437068	[0.5572207084468664, 0.8610328638497653, 0.7690721649484537, 0.5141921397379913, 0.6763754045307443, 0.4625322997416021, 0.9069182389937107]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.5790190735694822, 0.860093896713615, 0.7649484536082474, 0.5818777292576419, 0.6747572815533981, 0.46770025839793283, 0.89937106918239]	[734, 1065, 485, 916, 618, 387, 795]
4	0.5	0.8351648351648352	0.5384615384615384	0.8516483516483516	0.7570837223263593	0.48557072381130295	0.7669844179830659	[0.8365122615803815, 0.8244131455399061, 0.9051546391752577, 0.7292576419213974, 0.7216828478964401, 0.3359173126614987, 0.9911949685534591]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.8623978201634878, 0.8206572769953052, 0.9072164948453608, 0.7816593886462883, 0.7071197411003236, 0.3359173126614987, 0.989937106918239]	[734, 1065, 485, 916, 618, 387, 795]
5	0.5	0.9010989010989011	0.5384615384615384	0.9010989010989011	0.8220379850316034	0.48557072381130295	0.8189376047141678	[0.952316076294278, 0.828169014084507, 0.9731958762886598, 0.8209606986899564, 0.7152103559870551, 0.6227390180878553, 0.7522012578616353]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9536784741144414, 0.8272300469483568, 0.9731958762886598, 0.8318777292576419, 0.6893203883495146, 0.6227390180878553, 0.7446540880503144]	[734, 1065, 485, 916, 618, 387, 795]
6	0.5	0.9340659340659341	0.5384615384615384	0.9340659340659341	0.8651294996771548	0.48557072381130295	0.8566265934436418	[0.9686648501362398, 0.831924882629108, 0.9876288659793815, 0.7936681222707423, 0.7605177993527508, 0.7596899224806202, 0.9106918238993711]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9686648501362398, 0.8300469483568075, 0.9855670103092784, 0.8231441048034934, 0.6957928802588996, 0.7441860465116279, 0.9081761006289308]	[734, 1065, 485, 916, 618, 387, 795]
7	0.5	0.9175824175824175	0.5384615384615384	0.9340659340659341	0.8504022044411532	0.48557072381130295	0.860488273955836	[0.9509536784741145, 0.847887323943662, 0.9979381443298969, 0.5873362445414847, 0.8673139158576052, 0.7493540051679587, 0.9522012578616352]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9536784741144414, 0.8431924882629108, 0.9979381443298969, 0.6746724890829694, 0.8349514563106796, 0.7416020671834626, 0.9433962264150944]	[734, 1065, 485, 916, 618, 387, 795]
8	0.5	0.9340659340659341	0.5384615384615384	0.9340659340659341	0.8792192310278728	0.48557072381130295	0.8748592446793857	[0.9645776566757494, 0.8384976525821596, 1.0, 0.8777292576419214, 0.8122977346278317, 0.6640826873385013, 0.9911949685534591]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9659400544959128, 0.8366197183098592, 0.9979381443298969, 0.8853711790393013, 0.7815533980582524, 0.6537467700258398, 0.989937106918239]	[734, 1065, 485, 916, 618, 387, 795]
9	0.5	0.9010989010989011	0.5384615384615384	0.9010989010989011	0.8375996250787162	0.48557072381130295	0.8355383311414127	[0.94141689373297, 0.8309859154929577, 0.9876288659793815, 0.8100436681222707, 0.8349514563106796, 0.5813953488372093, 0.9220125786163522]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9427792915531336, 0.8291079812206573, 0.9855670103092784, 0.8264192139737991, 0.8155339805825242, 0.5684754521963824, 0.919496855345912]	[734, 1065, 485, 916, 618, 387, 795]
10	0.5	0.9395604395604396	0.5384615384615384	0.9395604395604396	0.8970108191395921	0.48557072381130295	0.8922380072419545	[0.9795640326975477, 0.8535211267605634, 0.9876288659793815, 0.9279475982532751, 0.8478964401294499, 0.7855297157622739, 0.8729559748427673]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9795640326975477, 0.8535211267605634, 0.9855670103092784, 0.9323144104803494, 0.8284789644012945, 0.7829457364341085, 0.8654088050314466]	[734, 1065, 485, 916, 618, 387, 795]
