MLNLAYER	COMBINED_TYPE	epoch	frac	early_avg_acc_lstm	early_avg_acc_mln	early_avg_acc_lstm_mln	final_framewise_avg_acc_lstm	final_framewise_avg_acc_mln	final_framewise_avg_acc_lstm_mln	class_framewise_avg_acc_lstm	class_framewise_avg_acc_mln	class_framewise_avg_acc_lstm_mln	classcount	early_class_framewise_avg_acc_lstm	early_class_framewise_avg_acc_mln	early_class_framewise_avg_acc_lstm_mln	early_classcount
False	conflation	0	0.5	0.5	0.5	0.8	0.5385472370766488	0.514520202020202	0.7367832739156268	[0.8627450980392157, 0.6666666666666666, 0.42857142857142855, 0.0]	[0.09803921568627451, 1.0, 0.9285714285714286, 0.0]	[0.8431372549019608, 1.0, 0.9285714285714286, 0.0]	[51, 24, 28, 23]	[1.0, 0.6666666666666666, 0.0, 0.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 0.0]	[3, 3, 2, 2]
False	conflation	1	0.5	0.7	0.5	0.8	0.698663101604278	0.514520202020202	0.7555332739156269	[1.0, 0.75, 0.7857142857142857, 0.08695652173913043]	[0.09803921568627451, 1.0, 0.9285714285714286, 0.0]	[0.9019607843137255, 1.0, 0.9285714285714286, 0.0]	[51, 24, 28, 23]	[1.0, 0.6666666666666666, 1.0, 0.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 0.0]	[3, 3, 2, 2]
False	conflation	2	0.5	0.8	0.5	0.8	0.8199019607843138	0.514520202020202	0.7805332739156269	[1.0, 0.7916666666666666, 0.9285714285714286, 0.34782608695652173]	[0.09803921568627451, 1.0, 0.9285714285714286, 0.0]	[0.9019607843137255, 1.0, 0.9285714285714286, 0.08695652173913043]	[51, 24, 28, 23]	[1.0, 0.6666666666666666, 1.0, 0.5]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 0.0]	[3, 3, 2, 2]
False	conflation	3	0.5	1.0	0.5	0.9	0.8413725490196079	0.514520202020202	0.8243241235888294	[1.0, 0.8333333333333334, 0.7857142857142857, 0.5217391304347826]	[0.09803921568627451, 1.0, 0.9285714285714286, 0.0]	[0.9215686274509803, 1.0, 0.8571428571428571, 0.2608695652173913]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 0.5]	[3, 3, 2, 2]
False	conflation	4	0.5	1.0	0.5	0.9	0.887156862745098	0.514520202020202	0.8501492869875221	[1.0, 0.9166666666666666, 0.75, 0.6956521739130435]	[0.09803921568627451, 1.0, 0.9285714285714286, 0.0]	[0.9607843137254902, 1.0, 0.75, 0.391304347826087]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 0.5]	[3, 3, 2, 2]
False	conflation	5	0.5	1.0	0.5	0.9	0.9188235294117646	0.514520202020202	0.8634826203208557	[1.0, 1.0, 0.75, 0.7391304347826086]	[0.09803921568627451, 1.0, 0.9285714285714286, 0.0]	[0.9607843137254902, 1.0, 0.75, 0.4782608695652174]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 0.5]	[3, 3, 2, 2]
False	conflation	6	0.5	1.0	0.5	1.0	0.923065953654189	0.514520202020202	0.8963992869875224	[1.0, 1.0, 0.7142857142857143, 0.8260869565217391]	[0.09803921568627451, 1.0, 0.9285714285714286, 0.0]	[1.0, 1.0, 0.7142857142857143, 0.6521739130434783]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
False	conflation	7	0.5	1.0	0.5	1.0	0.9363992869875222	0.514520202020202	0.903065953654189	[1.0, 1.0, 0.7142857142857143, 0.9130434782608695]	[0.09803921568627451, 1.0, 0.9285714285714286, 0.0]	[1.0, 1.0, 0.7142857142857143, 0.6956521739130435]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
False	conflation	8	0.5	1.0	0.5	1.0	0.9363992869875222	0.514520202020202	0.903065953654189	[1.0, 1.0, 0.7142857142857143, 0.9130434782608695]	[0.09803921568627451, 1.0, 0.9285714285714286, 0.0]	[1.0, 1.0, 0.7142857142857143, 0.6956521739130435]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
False	conflation	9	0.5	1.0	0.5	1.0	0.9497326203208555	0.514520202020202	0.9097326203208557	[1.0, 1.0, 0.7142857142857143, 1.0]	[0.09803921568627451, 1.0, 0.9285714285714286, 0.0]	[1.0, 1.0, 0.7142857142857143, 0.7391304347826086]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
False	conflation	10	0.5	1.0	0.5	1.0	0.9497326203208555	0.514520202020202	0.923065953654189	[1.0, 1.0, 0.7142857142857143, 1.0]	[0.09803921568627451, 1.0, 0.9285714285714286, 0.0]	[1.0, 1.0, 0.7142857142857143, 0.8260869565217391]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
False	conflation	11	0.5	1.0	0.5	1.0	0.9497326203208555	0.514520202020202	0.9297326203208556	[1.0, 1.0, 0.7142857142857143, 1.0]	[0.09803921568627451, 1.0, 0.9285714285714286, 0.0]	[1.0, 1.0, 0.7142857142857143, 0.8695652173913043]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
False	conflation	12	0.5	1.0	0.5	1.0	0.9497326203208555	0.514520202020202	0.9489483065953653	[1.0, 1.0, 0.7142857142857143, 1.0]	[0.09803921568627451, 1.0, 0.9285714285714286, 0.0]	[1.0, 1.0, 0.75, 0.9565217391304348]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
