MLNLAYER	COMBINED_TYPE	epoch	frac	early_avg_acc_lstm	early_avg_acc_mln	early_avg_acc_lstm_mln	final_framewise_avg_acc_lstm	final_framewise_avg_acc_mln	final_framewise_avg_acc_lstm_mln	class_framewise_avg_acc_lstm	class_framewise_avg_acc_mln	class_framewise_avg_acc_lstm_mln	classcount	early_class_framewise_avg_acc_lstm	early_class_framewise_avg_acc_mln	early_class_framewise_avg_acc_lstm_mln	early_classcount
False	conflation	0	0.5	0.58	0.54	0.64	0.5626895981756693	0.4717795232987072	0.5741826558472594	[0.6546184738955824, 0.5627118644067797, 0.7857142857142857, 0.21285140562248997, 0.96, 0.5098039215686274, 0.4354066985645933]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.891566265060241, 0.3389830508474576, 0.6190476190476191, 0.7951807228915663, 0.6571428571428571, 0.47058823529411764, 0.2631578947368421]	[249, 295, 126, 249, 175, 102, 209]	[0.625, 0.5714285714285714, 0.7142857142857143, 0.14285714285714285, 1.0, 0.5714285714285714, 0.42857142857142855]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[0.875, 0.2857142857142857, 0.5714285714285714, 1.0, 0.8571428571428571, 0.5714285714285714, 0.2857142857142857]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	1	0.5	0.62	0.54	0.84	0.5557890228503798	0.4717795232987072	0.7110364521906216	[0.6024096385542169, 0.8033898305084746, 0.9126984126984127, 0.03614457831325301, 1.0, 0.13725490196078433, 0.5263157894736842]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.8273092369477911, 0.5864406779661017, 0.9761904761904762, 0.6144578313253012, 0.92, 0.46078431372549017, 0.5406698564593302]	[249, 295, 126, 249, 175, 102, 209]	[0.625, 1.0, 0.8571428571428571, 0.0, 1.0, 0.14285714285714285, 0.7142857142857143]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[0.875, 0.8571428571428571, 1.0, 0.8571428571428571, 1.0, 0.42857142857142855, 0.8571428571428571]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	2	0.5	0.66	0.54	0.84	0.6545483636691344	0.4717795232987072	0.7439810085268372	[0.751004016064257, 0.6305084745762712, 1.0, 0.10040160642570281, 0.9828571428571429, 0.21568627450980393, 0.9473684210526315]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.8755020080321285, 0.5559322033898305, 1.0, 0.46184738955823296, 0.9371428571428572, 0.4215686274509804, 0.8899521531100478]	[249, 295, 126, 249, 175, 102, 209]	[0.75, 0.5714285714285714, 1.0, 0.0, 1.0, 0.2857142857142857, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[0.875, 0.7142857142857143, 1.0, 0.7142857142857143, 1.0, 0.5714285714285714, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	3	0.5	0.76	0.54	0.86	0.6858482957480133	0.4717795232987072	0.7623192396559975	[0.8152610441767069, 0.4440677966101695, 1.0, 0.2891566265060241, 0.9714285714285714, 0.3235294117647059, 1.0]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.9156626506024096, 0.5389830508474577, 1.0, 0.4819277108433735, 0.9314285714285714, 0.43137254901960786, 0.9712918660287081]	[249, 295, 126, 249, 175, 102, 209]	[0.875, 0.5714285714285714, 1.0, 0.2857142857142857, 1.0, 0.5714285714285714, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.7142857142857143, 1.0, 0.7142857142857143, 1.0, 0.5714285714285714, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	4	0.5	0.82	0.54	0.86	0.7254468633170899	0.4717795232987072	0.7789679270711387	[0.8393574297188755, 0.49830508474576274, 1.0, 0.3815261044176707, 0.9657142857142857, 0.4019607843137255, 1.0]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.9196787148594378, 0.5728813559322034, 1.0, 0.5140562248995983, 0.9371428571428572, 0.43137254901960786, 0.9904306220095693]	[249, 295, 126, 249, 175, 102, 209]	[0.875, 0.7142857142857143, 1.0, 0.5714285714285714, 1.0, 0.5714285714285714, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[0.875, 0.8571428571428571, 1.0, 0.7142857142857143, 1.0, 0.5714285714285714, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	5	0.5	0.84	0.54	0.9	0.7598612734803951	0.4717795232987072	0.8147480404934591	[0.8634538152610441, 0.5525423728813559, 1.0, 0.4497991967871486, 0.9485714285714286, 0.46078431372549017, 0.9952153110047847]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.9397590361445783, 0.6101694915254238, 1.0, 0.606425702811245, 0.9371428571428572, 0.4803921568627451, 0.9952153110047847]	[249, 295, 126, 249, 175, 102, 209]	[0.875, 0.7142857142857143, 1.0, 0.5714285714285714, 1.0, 0.7142857142857143, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 0.8571428571428571, 1.0, 0.5714285714285714, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	6	0.5	0.86	0.54	0.9	0.7892615301317142	0.4717795232987072	0.8271999044606182	[0.8514056224899599, 0.6033898305084746, 1.0, 0.5421686746987951, 0.9485714285714286, 0.5392156862745098, 0.9904306220095693]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.9236947791164659, 0.6406779661016949, 1.0, 0.6746987951807228, 0.9257142857142857, 0.5392156862745098, 0.9952153110047847]	[249, 295, 126, 249, 175, 102, 209]	[0.875, 0.7142857142857143, 1.0, 0.7142857142857143, 1.0, 0.7142857142857143, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 0.8571428571428571, 1.0, 0.5714285714285714, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	7	0.5	0.92	0.54	0.94	0.8304178259099336	0.4717795232987072	0.8504527333523813	[0.8433734939759037, 0.7084745762711865, 1.0, 0.6987951807228916, 0.9314285714285714, 0.5686274509803921, 0.9808612440191388]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.8755020080321285, 0.7288135593220338, 1.0, 0.7791164658634538, 0.9085714285714286, 0.5686274509803921, 0.9904306220095693]	[249, 295, 126, 249, 175, 102, 209]	[0.875, 0.8571428571428571, 1.0, 0.8571428571428571, 1.0, 0.8571428571428571, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 1.0, 1.0, 0.7142857142857143, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	8	0.5	0.96	0.54	0.94	0.8850921812032262	0.4717795232987072	0.8988145255806789	[0.8955823293172691, 0.735593220338983, 1.0, 0.7951807228915663, 0.9371428571428572, 0.6862745098039216, 0.9617224880382775]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.9518072289156626, 0.7457627118644068, 1.0, 0.8554216867469879, 0.8914285714285715, 0.6764705882352942, 0.9665071770334929]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.8571428571428571, 1.0, 1.0, 1.0, 0.8571428571428571, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 1.0, 0.8571428571428571, 0.8571428571428571, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	9	0.5	0.94	0.54	0.94	0.8956967702503371	0.4717795232987072	0.8853386960000885	[0.8152610441767069, 0.8, 0.9841269841269841, 0.9036144578313253, 0.9485714285714286, 0.7058823529411765, 0.9425837320574163]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.8433734939759037, 0.8169491525423729, 0.9682539682539683, 0.8795180722891566, 0.8914285714285715, 0.696078431372549, 0.9330143540669856]	[249, 295, 126, 249, 175, 102, 209]	[0.875, 0.8571428571428571, 1.0, 1.0, 1.0, 0.8571428571428571, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 1.0, 0.8571428571428571, 0.8571428571428571, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	10	0.5	0.96	0.54	0.96	0.9044871683735134	0.4717795232987072	0.9069918843773869	[0.8995983935742972, 0.7322033898305085, 1.0, 0.8835341365461847, 0.96, 0.6764705882352942, 0.9473684210526315]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.9156626506024096, 0.7423728813559322, 1.0, 0.9116465863453815, 0.9371428571428572, 0.6666666666666666, 0.9473684210526315]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.8571428571428571, 1.0, 1.0, 1.0, 0.8571428571428571, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 1.0, 1.0, 0.8571428571428571, 1.0]	[8, 7, 7, 7, 7, 7, 7]
