MLNLAYER	COMBINED_TYPE	epoch	frac	early_avg_acc_lstm	early_avg_acc_mln	early_avg_acc_lstm_mln	final_framewise_avg_acc_lstm	final_framewise_avg_acc_mln	final_framewise_avg_acc_lstm_mln	class_framewise_avg_acc_lstm	class_framewise_avg_acc_mln	class_framewise_avg_acc_lstm_mln	classcount	early_class_framewise_avg_acc_lstm	early_class_framewise_avg_acc_mln	early_class_framewise_avg_acc_lstm_mln	early_classcount
False	conflation	0	0.5	0.58	0.54	0.68	0.566753569603963	0.47664117049291777	0.602695341856318	[0.6706827309236948, 0.5898305084745763, 0.7857142857142857, 0.3092369477911647, 0.9542857142857143, 0.4803921568627451, 0.4258373205741627]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9879518072289156, 0.20677966101694914, 0.6031746031746031, 0.8594377510040161, 0.7371428571428571, 0.47058823529411764, 0.35406698564593303]	[249, 295, 126, 249, 175, 102, 209]	[0.625, 0.7142857142857143, 0.7142857142857143, 0.14285714285714285, 1.0, 0.42857142857142855, 0.42857142857142855]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.0, 0.8571428571428571, 1.0, 0.8571428571428571, 0.5714285714285714, 0.42857142857142855]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	1	0.5	0.6	0.54	0.7	0.5638296256002839	0.47664117049291777	0.6721064112006176	[0.5863453815261044, 0.7932203389830509, 0.9047619047619048, 0.028112449799196786, 1.0, 0.09803921568627451, 0.6267942583732058]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9879518072289156, 0.26101694915254237, 0.9761904761904762, 0.5662650602409639, 0.8857142857142857, 0.37254901960784315, 0.5789473684210527]	[249, 295, 126, 249, 175, 102, 209]	[0.625, 1.0, 0.8571428571428571, 0.0, 1.0, 0.0, 0.7142857142857143]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.0, 1.0, 0.7142857142857143, 0.8571428571428571, 0.5714285714285714, 0.7142857142857143]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	2	0.5	0.7	0.54	0.74	0.6714128019480269	0.47664117049291777	0.7000771167640802	[0.7871485943775101, 0.6474576271186441, 1.0, 0.10843373493975904, 0.9828571428571429, 0.18627450980392157, 0.9521531100478469]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9879518072289156, 0.24745762711864408, 1.0, 0.4538152610441767, 0.9257142857142857, 0.37254901960784315, 0.9330143540669856]	[249, 295, 126, 249, 175, 102, 209]	[0.75, 0.8571428571428571, 1.0, 0.0, 1.0, 0.2857142857142857, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.14285714285714285, 1.0, 0.5714285714285714, 1.0, 0.42857142857142855, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	3	0.5	0.8	0.54	0.76	0.721297450891241	0.47664117049291777	0.7166001399934531	[0.9236947791164659, 0.576271186440678, 1.0, 0.27710843373493976, 0.9657142857142857, 0.2647058823529412, 0.9952153110047847]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9879518072289156, 0.2576271186440678, 1.0, 0.4497991967871486, 0.92, 0.4019607843137255, 0.9617224880382775]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.8571428571428571, 1.0, 0.2857142857142857, 1.0, 0.42857142857142855, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.14285714285714285, 1.0, 0.7142857142857143, 1.0, 0.42857142857142855, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	4	0.5	0.76	0.54	0.8	0.7258951572191035	0.47664117049291777	0.7411273952128328	[0.9036144578313253, 0.4610169491525424, 1.0, 0.3534136546184739, 0.96, 0.39215686274509803, 0.9952153110047847]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9759036144578314, 0.36610169491525424, 1.0, 0.4899598393574297, 0.9314285714285714, 0.39215686274509803, 0.9712918660287081]	[249, 295, 126, 249, 175, 102, 209]	[0.875, 0.5714285714285714, 1.0, 0.42857142857142855, 1.0, 0.42857142857142855, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.42857142857142855, 1.0, 0.7142857142857143, 1.0, 0.42857142857142855, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	5	0.5	0.86	0.54	0.9	0.764050038943435	0.47664117049291777	0.7904757020665042	[0.9036144578313253, 0.535593220338983, 1.0, 0.41767068273092367, 0.9542857142857143, 0.49019607843137253, 0.9904306220095693]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9678714859437751, 0.49830508474576274, 1.0, 0.5662650602409639, 0.9314285714285714, 0.47058823529411764, 0.9856459330143541]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.7142857142857143, 1.0, 0.5714285714285714, 1.0, 0.7142857142857143, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 0.8571428571428571, 1.0, 0.5714285714285714, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	6	0.5	0.88	0.54	0.9	0.8062955985243637	0.47664117049291777	0.8321866200813972	[0.9196787148594378, 0.6644067796610169, 1.0, 0.4578313253012048, 0.9428571428571428, 0.5196078431372549, 0.9760765550239234]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9799196787148594, 0.6474576271186441, 1.0, 0.6184738955823293, 0.9371428571428572, 0.5196078431372549, 0.9760765550239234]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.8571428571428571, 1.0, 0.7142857142857143, 1.0, 0.5714285714285714, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 0.8571428571428571, 1.0, 0.5714285714285714, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	7	0.5	0.94	0.54	0.94	0.8367421276524855	0.47664117049291777	0.8556918898295678	[0.8955823293172691, 0.735593220338983, 1.0, 0.5983935742971888, 0.9371428571428572, 0.5784313725490197, 0.9521531100478469]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9598393574297188, 0.6915254237288135, 0.9920634920634921, 0.7389558232931727, 0.9142857142857143, 0.5784313725490197, 0.9521531100478469]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.8571428571428571, 1.0, 0.8571428571428571, 1.0, 0.8571428571428571, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 0.8571428571428571, 1.0, 0.8571428571428571, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	8	0.5	0.92	0.54	0.94	0.85728759220871	0.47664117049291777	0.8685142984502545	[0.9076305220883534, 0.8101694915254237, 0.9841269841269841, 0.6987951807228916, 0.9428571428571428, 0.5686274509803921, 0.9425837320574163]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9437751004016064, 0.7728813559322034, 0.9841269841269841, 0.8032128514056225, 0.9142857142857143, 0.5784313725490197, 0.9330143540669856]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.8571428571428571, 1.0, 0.8571428571428571, 1.0, 0.7142857142857143, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 1.0, 1.0, 0.7142857142857143, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	9	0.5	0.94	0.54	0.94	0.8679587770517702	0.47664117049291777	0.8813524211263107	[0.927710843373494, 0.752542372881356, 1.0, 0.7871485943775101, 0.9314285714285714, 0.5882352941176471, 0.937799043062201]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9799196787148594, 0.7016949152542373, 0.9920634920634921, 0.8674698795180723, 0.8971428571428571, 0.5980392156862745, 0.9330143540669856]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.8571428571428571, 1.0, 0.8571428571428571, 1.0, 0.8571428571428571, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 1.0, 1.0, 0.7142857142857143, 1.0]	[8, 7, 7, 7, 7, 7, 7]
