MLNLAYER	COMBINED_TYPE	epoch	frac	early_avg_acc_lstm	early_avg_acc_mln	early_avg_acc_lstm_mln	final_framewise_avg_acc_lstm	final_framewise_avg_acc_mln	final_framewise_avg_acc_lstm_mln	class_framewise_avg_acc_lstm	class_framewise_avg_acc_mln	class_framewise_avg_acc_lstm_mln	classcount	early_class_framewise_avg_acc_lstm	early_class_framewise_avg_acc_mln	early_class_framewise_avg_acc_lstm_mln	early_classcount
True	conflation	0	0.5	0.7518796992481203	0.5012531328320802	0.7518796992481203	0.742738827668121	0.5177876457671505	0.7389501644273464	[1.0, 0.9975062344139651, 0.9678249678249679, 0.0]	[0.11712772218952325, 0.9975062344139651, 0.9523809523809523, 0.0]	[0.9894055326662743, 0.9975062344139651, 0.9620334620334621, 0.0]	[1699, 802, 1554, 945]	[1.0, 1.0, 1.0, 0.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 0.0]	[100, 100, 100, 99]
True	conflation	1	0.5	0.7543859649122807	0.5012531328320802	0.7543859649122807	0.7497518118991504	0.5177876457671505	0.7454539488042948	[1.0, 0.9975062344139651, 0.972972972972973, 0.015873015873015872]	[0.11712772218952325, 0.9975062344139651, 0.9523809523809523, 0.0]	[1.0, 0.9975062344139651, 0.9665379665379665, 0.008465608465608466]	[1699, 802, 1554, 945]	[1.0, 1.0, 1.0, 0.010101010101010102]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 0.010101010101010102]	[100, 100, 100, 99]
True	conflation	2	0.5	0.9799498746867168	0.5012531328320802	0.9799498746867168	0.9709106656198653	0.5177876457671505	0.9701794707986661	[1.0, 0.9975062344139651, 0.9144144144144144, 1.0]	[0.11712772218952325, 0.9975062344139651, 0.9523809523809523, 0.0]	[1.0, 0.9975062344139651, 0.9118404118404119, 1.0]	[1699, 802, 1554, 945]	[1.0, 1.0, 0.92, 1.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 0.92, 1.0]	[100, 100, 100, 99]
True	conflation	3	0.5	0.9974937343358395	0.5012531328320802	0.9974937343358395	0.9940210722165612	0.5177876457671505	0.9939903037647402	[1.0, 0.9975062344139651, 0.9871299871299871, 0.9989417989417989]	[0.11712772218952325, 0.9975062344139651, 0.9523809523809523, 0.0]	[1.0, 0.9975062344139651, 0.9871299871299871, 0.9989417989417989]	[1699, 802, 1554, 945]	[1.0, 1.0, 0.99, 1.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 0.99, 1.0]	[100, 100, 100, 99]
True	conflation	4	0.5	1.0	0.5012531328320802	1.0	0.9965429446632456	0.5177876457671505	0.996005887735211	[1.0, 0.9975062344139651, 0.9942084942084942, 0.9989417989417989]	[0.11712772218952325, 0.9975062344139651, 0.9523809523809523, 0.0]	[1.0, 0.9975062344139651, 0.9929214929214929, 0.9989417989417989]	[1699, 802, 1554, 945]	[1.0, 1.0, 1.0, 1.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[100, 100, 100, 99]
True	conflation	5	0.5	0.9974937343358395	0.5012531328320802	0.9974937343358395	0.995473306281577	0.5177876457671505	0.9950436607391495	[1.0, 0.9975062344139651, 0.990990990990991, 0.9989417989417989]	[0.11712772218952325, 0.9975062344139651, 0.9523809523809523, 0.0]	[1.0, 0.9975062344139651, 0.9897039897039897, 0.9989417989417989]	[1699, 802, 1554, 945]	[1.0, 1.0, 0.99, 1.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 0.99, 1.0]	[100, 100, 100, 99]
True	conflation	6	0.5	0.9949874686716792	0.5012531328320802	0.9949874686716792	0.989628443492884	0.5177876457671505	0.9896056592595734	[1.0, 0.9975062344139651, 0.9781209781209781, 1.0]	[0.11712772218952325, 0.9975062344139651, 0.9523809523809523, 0.0]	[1.0, 0.9975062344139651, 0.9781209781209781, 1.0]	[1699, 802, 1554, 945]	[1.0, 1.0, 0.98, 1.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 0.98, 1.0]	[100, 100, 100, 99]
True	conflation	7	0.5	1.0	0.5012531328320802	1.0	0.9978542586625295	0.5177876457671505	0.9978542586625295	[1.0, 0.9975062344139651, 0.9967824967824968, 0.9989417989417989]	[0.11712772218952325, 0.9975062344139651, 0.9523809523809523, 0.0]	[1.0, 0.9975062344139651, 0.9967824967824968, 0.9989417989417989]	[1699, 802, 1554, 945]	[1.0, 1.0, 1.0, 1.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[100, 100, 100, 99]
True	conflation	8	0.5	0.9949874686716792	0.5012531328320802	0.9949874686716792	0.993204476311916	0.5177876457671505	0.9930857584646663	[0.9988228369629194, 0.9975062344139651, 0.9877734877734877, 1.0]	[0.11712772218952325, 0.9975062344139651, 0.9523809523809523, 0.0]	[0.9994114184814596, 0.9975062344139651, 0.9871299871299871, 1.0]	[1699, 802, 1554, 945]	[1.0, 1.0, 0.98, 1.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 0.98, 1.0]	[100, 100, 100, 99]
True	conflation	9	0.5	1.0	0.5012531328320802	1.0	0.9977463500019891	0.5177876457671505	0.9974678760393048	[1.0, 0.9987531172069826, 1.0, 0.9957671957671957]	[0.11712772218952325, 0.9975062344139651, 0.9523809523809523, 0.0]	[1.0, 0.9975062344139651, 1.0, 0.9957671957671957]	[1699, 802, 1554, 945]	[1.0, 1.0, 1.0, 1.0]	[0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[100, 100, 100, 99]
