MLNLAYER	COMBINED_TYPE	epoch	frac	early_avg_acc_lstm	early_avg_acc_mln	early_avg_acc_lstm_mln	final_framewise_avg_acc_lstm	final_framewise_avg_acc_mln	final_framewise_avg_acc_lstm_mln	class_framewise_avg_acc_lstm	class_framewise_avg_acc_mln	class_framewise_avg_acc_lstm_mln	classcount	early_class_framewise_avg_acc_lstm	early_class_framewise_avg_acc_mln	early_class_framewise_avg_acc_lstm_mln	early_classcount
True	conflation	0	0.5	0.52	0.54	0.52	0.45546280791981836	0.4717795232987072	0.45546280791981836	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.0, 0.5215311004784688]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.0, 0.5215311004784688]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.0, 0.7142857142857143]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.0, 0.7142857142857143]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	1	0.5	0.52	0.54	0.52	0.45605104321393597	0.4717795232987072	0.4512727499784198	[0.9879518072289156, 0.21016949152542372, 0.0, 0.7469879518072289, 0.6571428571428571, 0.0, 0.5215311004784688]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.9879518072289156, 0.21016949152542372, 0.0, 0.7469879518072289, 0.6571428571428571, 0.0, 0.4880382775119617]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.0, 0.7142857142857143]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.0, 0.7142857142857143]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	2	0.5	0.66	0.54	0.66	0.5791054342982564	0.4717795232987072	0.5627888563940764	[0.9879518072289156, 0.21694915254237288, 0.873015873015873, 0.7228915662650602, 0.6571428571428571, 0.0, 0.5215311004784688]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.9879518072289156, 0.21694915254237288, 0.7777777777777778, 0.7349397590361446, 0.6571428571428571, 0.0, 0.507177033492823]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.0, 1.0, 1.0, 0.8571428571428571, 0.0, 0.7142857142857143]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.0, 1.0, 1.0, 0.8571428571428571, 0.0, 0.7142857142857143]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	3	0.5	0.62	0.54	0.66	0.5793761262991823	0.4717795232987072	0.5937700846220245	[0.9879518072289156, 0.2135593220338983, 1.0, 0.5622489959839357, 0.6571428571428571, 0.0, 0.6746411483253588]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.9879518072289156, 0.21694915254237288, 1.0, 0.7108433734939759, 0.6571428571428571, 0.0, 0.5215311004784688]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.0, 1.0, 0.7142857142857143, 0.8571428571428571, 0.0, 0.7142857142857143]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.0, 1.0, 1.0, 0.8571428571428571, 0.0, 0.7142857142857143]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	4	0.5	0.62	0.54	0.66	0.5886847630363744	0.4717795232987072	0.5966819620166606	[0.9879518072289156, 0.2135593220338983, 1.0, 0.5542168674698795, 0.6571428571428571, 0.0, 0.7942583732057417]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.9879518072289156, 0.21694915254237288, 1.0, 0.714859437751004, 0.6571428571428571, 0.0, 0.5454545454545454]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.0, 1.0, 0.7142857142857143, 0.8571428571428571, 0.0, 0.7142857142857143]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.0, 1.0, 1.0, 0.8571428571428571, 0.0, 0.7142857142857143]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	5	0.5	0.66	0.54	0.66	0.6133081986395463	0.4717795232987072	0.6234044842608277	[0.9879518072289156, 0.21694915254237288, 1.0, 0.5823293172690763, 0.6571428571428571, 0.0, 0.9330143540669856]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.9879518072289156, 0.21694915254237288, 1.0, 0.7389558232931727, 0.6571428571428571, 0.00980392156862745, 0.7416267942583732]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.0, 1.0, 0.7142857142857143, 0.8571428571428571, 0.0, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.0, 1.0, 1.0, 0.8571428571428571, 0.0, 0.7142857142857143]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	6	0.5	0.72	0.54	0.72	0.6613873016609153	0.4717795232987072	0.6604090282925362	[0.9879518072289156, 0.23389830508474577, 0.9920634920634921, 0.714859437751004, 0.6571428571428571, 0.12745098039215685, 0.9425837320574163]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.9879518072289156, 0.21694915254237288, 0.9841269841269841, 0.7349397590361446, 0.6571428571428571, 0.12745098039215685, 0.9043062200956937]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.0, 1.0, 1.0, 0.8571428571428571, 0.14285714285714285, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.0, 1.0, 1.0, 0.8571428571428571, 0.14285714285714285, 1.0]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	7	0.5	0.74	0.54	0.76	0.6991734854307632	0.4717795232987072	0.6981199152988086	[0.9879518072289156, 0.29152542372881357, 1.0, 0.7269076305220884, 0.6571428571428571, 0.27450980392156865, 0.9473684210526315]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.9879518072289156, 0.2677966101694915, 1.0, 0.7309236947791165, 0.6571428571428571, 0.28431372549019607, 0.9330143540669856]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.0, 1.0, 1.0, 0.8571428571428571, 0.2857142857142857, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.0, 1.0, 1.0, 0.8571428571428571, 0.42857142857142855, 1.0]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	8	0.5	0.74	0.54	0.76	0.7235569388805811	0.4717795232987072	0.7221781323531732	[0.9879518072289156, 0.33220338983050846, 1.0, 0.8072289156626506, 0.6571428571428571, 0.3333333333333333, 0.9425837320574163]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.9879518072289156, 0.31186440677966104, 1.0, 0.8072289156626506, 0.6571428571428571, 0.3431372549019608, 0.9425837320574163]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.0, 1.0, 1.0, 0.8571428571428571, 0.2857142857142857, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.0, 1.0, 1.0, 0.8571428571428571, 0.42857142857142855, 1.0]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	9	0.5	0.8	0.54	0.82	0.7561242432743945	0.4717795232987072	0.7534362687742496	[0.9718875502008032, 0.46440677966101696, 0.9920634920634921, 0.8112449799196787, 0.7257142857142858, 0.4019607843137255, 0.9234449760765551]	[0.9879518072289156, 0.21694915254237288, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.24880382775119617]	[0.9718875502008032, 0.4440677966101695, 0.9841269841269841, 0.8072289156626506, 0.7257142857142858, 0.4117647058823529, 0.9234449760765551]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.2857142857142857, 1.0, 1.0, 0.8571428571428571, 0.42857142857142855, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.2857142857142857, 1.0, 1.0, 0.8571428571428571, 0.5714285714285714, 1.0]	[8, 7, 7, 7, 7, 7, 7]
