MLNLAYER	COMBINED_TYPE	epoch	frac	early_avg_acc_lstm	early_avg_acc_mln	early_avg_acc_lstm_mln	final_framewise_avg_acc_lstm	final_framewise_avg_acc_mln	final_framewise_avg_acc_lstm_mln	class_framewise_avg_acc_lstm	class_framewise_avg_acc_mln	class_framewise_avg_acc_lstm_mln	classcount	early_class_framewise_avg_acc_lstm	early_class_framewise_avg_acc_mln	early_class_framewise_avg_acc_lstm_mln	early_classcount
True	conflation	0	0.5	0.5	0.54	0.5	0.453433822412572	0.47664117049291777	0.453433822412572	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7188755020080321, 0.6571428571428571, 0.0, 0.5215311004784688]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7188755020080321, 0.6571428571428571, 0.0, 0.5215311004784688]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.0, 0.0, 0.8571428571428571, 0.8571428571428571, 0.0, 0.7142857142857143]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.0, 0.0, 0.8571428571428571, 0.8571428571428571, 0.0, 0.7142857142857143]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	1	0.5	0.5	0.54	0.52	0.453433822412572	0.47664117049291777	0.45546280791981836	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7188755020080321, 0.6571428571428571, 0.0, 0.5215311004784688]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.0, 0.5215311004784688]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.0, 0.0, 0.8571428571428571, 0.8571428571428571, 0.0, 0.7142857142857143]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.0, 0.7142857142857143]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	2	0.5	0.64	0.54	0.66	0.5655949266266792	0.47664117049291777	0.5497897306637787	[0.9879518072289156, 0.20677966101694914, 0.8333333333333334, 0.7068273092369478, 0.6571428571428571, 0.0, 0.5215311004784688]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9879518072289156, 0.20677966101694914, 0.7301587301587301, 0.7389558232931727, 0.6571428571428571, 0.0196078431372549, 0.5215311004784688]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.0, 1.0, 0.8571428571428571, 0.8571428571428571, 0.0, 0.7142857142857143]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.0, 1.0, 1.0, 0.8571428571428571, 0.0, 0.7142857142857143]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	3	0.5	0.64	0.54	0.66	0.5732389229809443	0.47664117049291777	0.5924022329441483	[0.9879518072289156, 0.20677966101694914, 1.0, 0.5863453815261044, 0.6571428571428571, 0.0, 0.5502392344497608]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9879518072289156, 0.20677966101694914, 1.0, 0.7228915662650602, 0.6571428571428571, 0.0, 0.5215311004784688]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.0, 1.0, 0.8571428571428571, 0.8571428571428571, 0.0, 0.7142857142857143]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.0, 1.0, 1.0, 0.8571428571428571, 0.0, 0.7142857142857143]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	4	0.5	0.64	0.54	0.66	0.5825639507898581	0.47664117049291777	0.5869454639086453	[0.9879518072289156, 0.20677966101694914, 1.0, 0.6706827309236948, 0.6571428571428571, 0.0, 0.5311004784688995]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9879518072289156, 0.20677966101694914, 1.0, 0.7068273092369478, 0.6571428571428571, 0.0, 0.507177033492823]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.0, 1.0, 0.8571428571428571, 0.8571428571428571, 0.0, 0.7142857142857143]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.0, 1.0, 1.0, 0.8571428571428571, 0.0, 0.7142857142857143]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	5	0.5	0.6	0.54	0.66	0.5968256221083765	0.47664117049291777	0.6143595625003863	[0.9879518072289156, 0.2135593220338983, 1.0, 0.5542168674698795, 0.6571428571428571, 0.0, 0.8229665071770335]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9879518072289156, 0.20677966101694914, 1.0, 0.7108433734939759, 0.6571428571428571, 0.0, 0.7799043062200957]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.0, 1.0, 0.5714285714285714, 0.8571428571428571, 0.0, 0.7142857142857143]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.0, 1.0, 1.0, 0.8571428571428571, 0.0, 0.7142857142857143]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	6	0.5	0.72	0.54	0.68	0.6703361431357042	0.47664117049291777	0.6449748955448947	[0.9879518072289156, 0.36271186440677966, 1.0, 0.6947791164658634, 0.6571428571428571, 0.11764705882352941, 0.9090909090909091]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9879518072289156, 0.3016949152542373, 1.0, 0.6947791164658634, 0.6571428571428571, 0.13725490196078433, 0.7655502392344498]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.0, 1.0, 1.0, 0.8571428571428571, 0.14285714285714285, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.0, 1.0, 1.0, 0.8571428571428571, 0.14285714285714285, 0.7142857142857143]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	7	0.5	0.76	0.54	0.76	0.7010593332957399	0.47664117049291777	0.6941041709357312	[0.9879518072289156, 0.3152542372881356, 0.9920634920634921, 0.7188755020080321, 0.6571428571428571, 0.30392156862745096, 0.9330143540669856]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9879518072289156, 0.2711864406779661, 0.9920634920634921, 0.7269076305220884, 0.6571428571428571, 0.3137254901960784, 0.9090909090909091]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.0, 1.0, 1.0, 0.8571428571428571, 0.42857142857142855, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.0, 1.0, 1.0, 0.8571428571428571, 0.42857142857142855, 1.0]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	8	0.5	0.84	0.54	0.8	0.7419733131066769	0.47664117049291777	0.7386140980075347	[0.9759036144578314, 0.4610169491525424, 0.9841269841269841, 0.7269076305220884, 0.6571428571428571, 0.4117647058823529, 0.9186602870813397]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9799196787148594, 0.42033898305084744, 0.9761904761904762, 0.7389558232931727, 0.6571428571428571, 0.43137254901960786, 0.9138755980861244]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.42857142857142855, 1.0, 1.0, 0.8571428571428571, 0.5714285714285714, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.14285714285714285, 1.0, 1.0, 0.8571428571428571, 0.5714285714285714, 1.0]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	9	0.5	0.86	0.54	0.86	0.7649450532662396	0.47664117049291777	0.7609056097629199	[0.9799196787148594, 0.5152542372881356, 1.0, 0.7349397590361446, 0.6571428571428571, 0.47058823529411764, 0.8995215311004785]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9759036144578314, 0.4915254237288136, 1.0, 0.7429718875502008, 0.6571428571428571, 0.4803921568627451, 0.8995215311004785]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.42857142857142855, 1.0, 1.0, 0.8571428571428571, 0.7142857142857143, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.42857142857142855, 1.0, 1.0, 0.8571428571428571, 0.7142857142857143, 1.0]	[8, 7, 7, 7, 7, 7, 7]
